Q06644	P40054
Q03370	P40054
Q08651	P40054
Q08915	P40054
Q08958	P40054
P32842	P40054
Q12207	P40054
P40056	P40078
P40056	P24482
Q03289	P05754
P43636	P22202
P38750	P40066
P40074	P35731
P38756	P40077
P40085	P39517
Q12013	P39944
P36096	P40091
P46993	P10355
P39952	P32910
P43575	P48412
P32343	P16387
P43581	P40959
P38726	P35191
Q12063	P15625
P06842	P32793
P06842	Q08646
P36046	P43570
P40508	P43567
P43562	Q04081
P43562	O94086
P43552	P36014
Q12171	P43587
P38727	P32569
P39003	P40054
P38258	P32598
Q07811	P32569
P53856	P32569
Q08958	P39101
P40073	P24870
P32332	P40095
Q05611	Q06340
P28584	P32776
P53108	Q04053
P40088	P38624
P53069	Q06675
Q12691	Q06408
P53039	Q04053
P54070	P32569
P40088	P40054
O13567	P40054
P40088	P40522
P40532	P40091
Q02969	P39979
P38726	P32569
Q04018	P32569
P39932	P40463
P32621	P40047
P39004	P39101
P53342	P40054
P40085	P35691
P31381	P53126
P53214	P54007
P53259	P40896
P87266	P53287
P53324	Q08558
Q07830	P38701
Q12473	P14724
Q08417	P19955
P53008	Q01852
P33338	P53188
P53320	P32781
P38962	P25299
P33421	P27999
P38880	P53143
P53121	P33890
Q08786	P40956
P54070	P40956
Q12498	P40956
P39924	P53061
P53053	P47092
Q05899	P53202
P53209	Q12098
P53220	Q12098
P53226	Q12058
P47028	P53233
Q02783	P53233
P87287	P53235
Q12274	P53238
P53241	P39534
P53245	P05735
P40260	P40582
P35180	Q06389
P40071	P53043
P48236	P40582
P53288	Q02804
P53388	P53292
P53039	Q12034
Q07376	P53295
P40988	P53295
P53039	P53296
P42934	P38080
P43536	P30822
P53116	P30822
P50088	Q02516
P53310	Q07418
P33328	P53314
Q12225	Q03330
P27614	P32527
P47028	P34162
P53259	P23180
P38740	P32179
P38734	P34167
P22214	Q00772
Q06144	Q00772
P38770	P49687
P38297	P34162
Q06236	P34162
P38775	P21264
P43537	P38781
P32465	P38829
Q12328	P38692
P25625	P38822
Q99190	P38822
Q12135	P38822
P39996	P38822
P06775	P40582
P53293	P40574
Q12171	P30822
Q06676	P38822
P53285	Q03508
P53324	P53616
P53203	P25299
P40107	P40582
P41806	P43599
P43617	P38700
P53159	Q07442
Q08144	P38633
Q12328	P38822
Q07629	P25299
P53247	Q03208
P07213	P16451
P38127	P38822
P53173	P40164
P53171	P16892
P39563	P27999
P38252	P27999
P38264	P27999
P53979	P25299
P53633	P25299
P38307	P27999
Q03913	P27999
Q05503	P27999
P40027	P27999
P40035	P27999
P40097	P27999
P46993	P27999
P46986	P27999
P36060	P27999
P53160	P33298
P25656	P53150
Q06148	P53150
P53142	Q03790
Q06593	P53135
P38962	P38633
Q03370	P38633
P40074	P38633
P38834	P38633
Q06158	P38633
P32352	P38633
P38958	P27999
P37296	P38633
P46956	P38822
P32353	P40510
P38958	P40955
Q03788	P40361
P38318	P32529
P18962	P06787
P40107	P38822
P38727	P38822
P38837	P38822
P47075	P38822
P47028	P38822
P47003	P38822
P34240	P38822
P53427	P38822
Q03102	P38822
P32462	P38822
Q12442	P38822
Q08144	P38822
Q08448	P38822
P33300	P38822
P22140	P40582
P39010	P23291
P38843	P33401
P38849	P53870
P25568	P38699
P46961	P38699
P38868	Q12154
P29704	P40582
P29704	Q03790
P40548	Q05015
P40544	P40582
P40544	P18961
P40544	P53728
P40308	P40541
P31377	P13517
P38307	P13517
P38152	P13517
P25584	P13517
P40533	Q04120
P40532	P10592
P40497	P38795
P40497	P53728
P40497	P53736
P40350	P40492
P25045	P40486
P42836	P40486
P40476	P22148
P40474	P48234
P40464	Q04431
P40451	P40562
P52923	P40442
P15367	P34167
P38168	P40361
Q04398	P40361
P47036	Q12154
P46956	Q06410
P25346	P46984
P40897	P43598
P47090	Q03981
P53181	P47101
Q05899	P21374
P39557	P32529
P38258	P32529
P38301	P32529
P38958	P32529
Q12016	P47128
P22804	P38182
P33767	P24583
Q02795	P24583
P39007	P24583
P41543	P24583
P38631	P06780
P54867	P51862
P36027	P51862
P39563	P06787
P34240	P06787
Q12473	P06787
Q06200	P06787
Q03691	P06787
P41698	Q03497
P41698	P36080
P46956	Q03790
P05375	P06787
P41821	P38836
P40350	P09938
P38268	P32529
Q08548	P38822
P40497	P32505
P47082	P47128
Q04935	P06787
P38226	P38823
P40526	P38354
P38825	Q12415
P32837	P38829
P40524	Q06708
P38335	P40484
Q08215	P40454
P38843	P47015
P47003	Q12017
P37298	P32529
P38834	P12687
P32900	P54786
P50078	P24583
P27614	P61864
P39926	P38856
P31377	P32598
P32867	P38856
